TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2022-12-24 17:14:33,057    	OlympicWords                                 	EFCoreLogs-default                         	138                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 17:16:35,405    	OlympicWords                                 	EFCoreLogs-default                         	118                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 17:16:35,410    	OlympicWords                                 	EFCoreLogs-default                         	107                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 17:16:36,468    	OlympicWords                                 	EFCoreLogs-default                         	107                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 17:17:24,763    	OlympicWords                                 	EFCoreLogs-default                         	152                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 17:17:24,768    	OlympicWords                                 	EFCoreLogs-default                         	181                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 17:17:24,801    	OlympicWords                                 	EFCoreLogs-default                         	181                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 17:22:46,712    	OlympicWords                                 	EFCoreLogs-default                         	98                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 17:22:46,717    	OlympicWords                                 	EFCoreLogs-default                         	117                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 17:22:47,797    	OlympicWords                                 	EFCoreLogs-default                         	117                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 17:22:59,949    	OlympicWords                                 	EFCoreLogs-default                         	106                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 17:22:59,954    	OlympicWords                                 	EFCoreLogs-default                         	181                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 17:23:00,039    	OlympicWords                                 	EFCoreLogs-default                         	181                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 17:26:12,595    	OlympicWords                                 	EFCoreLogs-default                         	121                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 17:26:12,599    	OlympicWords                                 	EFCoreLogs-default                         	124                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 17:26:13,681    	OlympicWords                                 	EFCoreLogs-default                         	124                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
